City_ID,name,lat,lon,temp_max,humidity,all,speed,country,dt
168,san clemente,33.427,-117.612,289.67,81,95,2.68,US,1709743294
169,ormara,25.2088,64.6357,294.95,73,0,5.48,PK,1709743294
170,suances,43.4334,-4.0434,288.06,62,0,4.12,ES,1709743295
171,salinas,36.6777,-121.6555,286.64,88,0,4.63,US,1709743296
172,'alaqahdari dishu,30.4374,63.313,286.57,57,1,4.04,AF,1709743297
173,marat,25.0701,45.4615,293.5,22,78,6.67,SA,1709743298
174,tindouf,27.6711,-8.1474,302.4,8,0,4.12,DZ,1709743211
175,talnakh,69.4865,88.3972,258.25,90,99,2.36,RU,1709743229
176,mandera,3.9366,41.867,309.55,23,70,2.01,KE,1709743300
177,gaspe,48.8334,-64.4819,281.27,61,75,4.12,CA,1709743301
178,palmer,42.1584,-72.3287,285.64,87,100,0.0,US,1709743302
179,suva,-18.1416,178.4415,300.86,83,75,2.57,FJ,1709743303
180,taguatinga,-12.3857,-46.5711,305.07,54,36,0.67,BR,1709743304
181,vorgashor,67.5833,63.95,252.61,99,100,4.85,RU,1709743305
182,sandnessjoen,66.0217,12.6316,276.21,60,0,1.54,NO,1709743305
183,punta arenas,-53.15,-70.9167,286.21,50,40,7.2,CL,1709743031
184,oranjemund,-28.55,16.4333,291.88,71,5,4.04,NA,1709743307
185,margate,51.3813,1.3862,283.54,84,16,3.36,GB,1709743308
186,dunedin,-45.8742,170.5036,284.15,83,25,1.13,NZ,1709743310
187,flying fish cove,-10.4217,105.6791,298.97,100,99,1.54,CX,1709743310
188,saint-francois,46.4154,3.9054,281.84,67,0,2.57,FR,1709743311
189,labrador city,52.9463,-66.9114,263.1,62,75,6.17,CA,1709743312
190,pawni,20.7833,79.6333,301.29,22,10,4.61,IN,1709743313
191,norderney,53.7,7.15,281.51,79,100,5.1,DE,1709743314
192,saipan,15.1355,145.701,299.54,78,40,3.09,MP,1709743315
193,port alfred,-33.5906,26.891,293.81,82,2,3.96,ZA,1709743316
194,palikir - national government center,6.9248,158.1611,300.56,74,100,3.09,FM,1709743126
195,aneho,6.2333,1.6,304.26,78,95,7.14,TG,1709743317
196,ljusdal,61.8288,16.0913,269.54,97,16,0.99,SE,1709743318
197,paita,-5.0892,-81.1144,300.57,64,50,4.56,PE,1709743319
